"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.0776254565323e-40,0.777193521924831,0.498,0.589,4.43988560060952e-37,"0","QPCT"
7.84417352710012e-40,0.403991155644915,0.545,0.623,1.6762998827413e-36,"0","CMIP"
1.22028307868087e-39,0.439464963035751,0.549,0.625,2.60774493914102e-36,"0","TMEM127"
1.07470030072802e-36,0.264774930644613,0.297,0.568,2.29663454265577e-33,"0","BPI"
2.98579650757608e-35,0.747445753255131,0.41,0.436,6.38064713669008e-32,"0","HP"
1.64086507257949e-34,0.334840600088244,0.486,0.486,3.50652866010236e-31,"0","ANO6"
3.39947546900418e-34,0.324583181857154,0.531,0.63,7.26467907726194e-31,"0","PHF21A"
1.02073434994933e-32,0.390147696608904,0.521,0.611,2.18130930584172e-29,"0","EMP1"
2.51859188265966e-32,0.568866427984357,0.52,0.608,5.3822308532437e-29,"0","UNC93B1"
1.42876838418258e-30,0.467337532575816,0.347,0.571,3.05327803699818e-27,"0","ALDH1A1"
2.2185576240429e-30,0.414865679077129,0.383,0.448,4.74105764257968e-27,"0","C3AR1"
5.2200976349773e-29,0.317022560593563,0.442,0.474,1.11553486459465e-25,"0","LDLR"
4.91748474856023e-27,0.619067565413747,0.731,0.73,1.05086649076732e-23,"0","EVI2A"
1.504067179124e-26,0.466967441082417,0.359,0.435,3.21419156178799e-23,"0","NLRC4"
2.92334562187224e-26,0.319583507902371,0.551,0.616,6.24718959394098e-23,"0","SERPING1"
1.14420994675916e-25,0.293857084532504,0.356,0.578,2.44517665622433e-22,"0","FFAR2"
2.42774423982181e-25,0.511698617236131,0.52,0.61,5.18808944049921e-22,"0","DOCK5"
3.18711047345454e-25,0.414002337053032,0.565,0.634,6.81085508177235e-22,"0","SNX18"
3.44681536101089e-23,0.396664475475865,0.476,0.602,7.36584442648027e-20,"0","RIT1"
1.70691082873115e-22,0.297218414017196,0.583,0.644,3.64766844099848e-19,"0","RASSF3"
6.3049259019576e-22,0.33846837251417,0.53,0.612,1.34736266524834e-18,"0","SLC25A37"
1.18469288933606e-21,0.395480814140525,0.366,0.579,2.53168870451116e-18,"0","MAP3K7CL"
1.93937202851967e-21,0.540078605569755,0.665,0.711,4.14443802494653e-18,"0","HSPA1A"
2.16361757965106e-20,0.33725542238492,0.361,0.573,4.62365076771432e-17,"0","FOLR3"
7.54264874173412e-19,0.342222602005548,0.538,0.635,1.61186403610858e-15,"0","MIS18BP1"
1.22553913920967e-18,0.477858041844297,0.378,0.441,2.61897714049106e-15,"0","DRAM1"
1.14060188558972e-16,0.418224078434477,0.477,0.601,2.43746622950524e-13,"0","C9orf89"
1.84772234836647e-15,0.485042575574234,0.498,0.613,3.94858265845914e-12,"0","FAM49A"
1.96974872327326e-14,0.466699343608044,0.524,0.619,4.20935302163496e-11,"0","HIST2H2AA4"
6.70997788050318e-14,0.449039715096045,0.502,0.608,1.43392227306353e-10,"0","ATG16L2"
8.07781131034268e-13,0.325717128238265,0.308,0.428,1.72622827702023e-09,"0","LHFPL2"
7.7335932975105e-12,0.437985677999051,0.376,0.451,1.65266888767799e-08,"0","ARHGAP31"
9.53304245411379e-12,0.261801621711601,0.343,0.574,2.03721117244412e-08,"0","DGAT2"
7.57273387313594e-11,0.339550640976053,0.382,0.579,1.61829322868915e-07,"0","TCN2"
2.0789302710309e-09,0.368465269849807,0.374,0.578,4.44267398919303e-06,"0","AGPAT9"
2.69621833297782e-09,0.335550002042557,0.567,0.563,5.7618185775736e-06,"0","ALCAM"
