"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.47702245066491e-161,0.533073939537071,0.944,0.927,1.17043969770709e-157,"0","MTRNR2L8"
1.2236251455477e-158,0.929211062790176,0.586,0.427,2.61488693603543e-155,"0","CYTH1"
5.94414892911267e-157,1.23304679292602,0.359,0.19,1.27026462615138e-153,"0","APOBR"
5.51512171533305e-156,0.680372713822979,0.773,0.672,1.17858151056667e-152,"0","TLN1"
1.33763960722245e-154,0.97323593930163,0.423,0.234,2.85853584063439e-151,"0","GBP5"
6.49684385969299e-154,0.930698088275852,0.583,0.429,1.38837553281639e-150,"0","RASSF5"
3.82919726285647e-152,0.969885386870968,0.392,0.204,8.18299455072428e-149,"0","RP11-94L15.2"
8.65556604793941e-151,1.08310568293811,0.327,0.156,1.84969446444465e-147,"0","OPTN"
4.54489028371465e-147,0.804210337761239,0.672,0.567,9.71243053629821e-144,"0","ARHGAP30"
6.66150645455449e-146,0.97358345586321,0.523,0.366,1.42356392933829e-142,"0","SEPT7"
2.71362367121362e-145,0.795935437176578,0.558,0.362,5.7990137853835e-142,"0","SLC38A1"
3.08800779935113e-137,1.13790560334653,0.306,0.153,6.59907266721336e-134,"0","TPST2"
4.70781300865353e-137,0.463809088365378,0.937,0.848,1.00605963994926e-133,"0","LCP1"
1.05910159759518e-135,0.6309527455304,0.786,0.701,2.26330011406089e-132,"0","ARPC2"
2.40490364701968e-135,0.70206878070246,0.695,0.592,5.13927909368107e-132,"0","NCL"
1.7569166183205e-134,1.02197689438466,0.427,0.264,3.75453081335092e-131,"0","IDS"
5.95474918781826e-132,1.04622374417309,0.377,0.213,1.27252990143676e-128,"0","SLC44A2"
2.1007201256945e-131,0.830010496820056,0.541,0.368,4.48923890860914e-128,"0","CYFIP2"
1.37619276969777e-130,0.471599871789633,0.59,0.36,2.94092394884413e-127,"0","TRBC2"
5.52172399336533e-128,1.02412652093736,0.444,0.291,1.17999241738217e-124,"0","ARHGAP9"
1.50070585763189e-123,1.01694128455804,0.291,0.143,3.20700841775934e-120,"0","MTSS1"
1.73613473466033e-122,0.968158664183714,0.432,0.275,3.71011992796913e-119,"0","C1orf63"
3.51131422736985e-122,1.02754013488198,0.397,0.243,7.50367850388936e-119,"0","ITGB7"
6.86338529417971e-122,0.922567755055114,0.386,0.221,1.4667054373662e-118,"0","TBC1D10C"
4.160098718769e-119,0.922945376061754,0.317,0.163,8.89013096200936e-116,"0","STK17A"
4.22825214213937e-116,0.662959460551212,0.679,0.598,9.03577482775183e-113,"0","YWHAZ"
1.66644957900473e-115,0.619949575487295,0.732,0.66,3.5612027503331e-112,"0","PTP4A2"
2.74845989783919e-115,0.850680992436113,0.518,0.379,5.87345880168234e-112,"0","CDC42SE2"
6.48512479217684e-111,0.780726837283719,0.547,0.405,1.38587116808819e-107,"0","MYO1F"
1.13235863719216e-110,0.813186629649435,0.499,0.356,2.41985040767966e-107,"0","IFITM2"
4.98373449141333e-110,0.762596829467883,0.58,0.455,1.06502406081503e-106,"0","IKZF1"
9.4034401669131e-109,1.06316008234511,0.347,0.21,2.00951516366933e-105,"0","AOAH"
1.41164948924833e-108,0.883236252294376,0.467,0.322,3.01669495852367e-105,"0","PIK3R1"
4.76626093347982e-108,0.783324387552983,0.56,0.444,1.01854996148464e-104,"0","PFN1"
5.15642179622153e-108,0.353822833210865,0.927,0.875,1.10192733785254e-104,"0","MT-CO3"
2.56540298721809e-107,0.832522977516425,0.319,0.167,5.48226618368505e-104,"0","LBH"
3.07015024928725e-106,0.959275007870581,0.399,0.26,6.56091108272685e-103,"0","RAP1B"
1.15799848796981e-105,1.09968784751726,0.284,0.154,2.47464276879149e-102,"0","FOSL2"
1.84282264722476e-104,0.866270448978846,0.476,0.338,3.93811199711932e-101,"0","LNPEP"
2.0643344793263e-103,0.97176089742964,0.266,0.136,4.41148278232031e-100,"0","STOM"
1.14403212057282e-102,0.478108411320071,0.675,0.564,2.44479664166411e-99,"0","HSPA5"
4.73913117932186e-101,0.825991364241449,0.439,0.291,1.01275233302108e-97,"0","ITGAM"
4.79685317432064e-100,0.95037716440448,0.378,0.241,1.02508752335232e-96,"0","CD97"
8.50664132677096e-100,0.260734735768076,0.932,0.88,1.81786925153095e-96,"0","RPL3"
1.05692718490659e-99,0.842452063551685,0.507,0.397,2.25865339414539e-96,"0","KLF13"
1.55753589330528e-99,0.631196945132516,0.691,0.611,3.32845420399339e-96,"0","CFL1"
1.68966835990954e-99,0.540740748608512,0.704,0.604,3.61082128512669e-96,"0","BTG1"
2.44167147132738e-99,1.02408218645263,0.266,0.141,5.21785193422662e-96,"0","ADAM8"
2.35467658074672e-97,0.868924122943236,0.513,0.395,5.03194385305573e-94,"0","BPTF"
5.73090190983565e-97,0.889219334851081,0.502,0.39,1.22469373813188e-93,"0","IQGAP2"
1.69677099042289e-95,0.90604985725871,0.359,0.221,3.62599960653371e-92,"0","P2RY8"
3.09809822245767e-95,0.782060266582922,0.53,0.411,6.62063590139204e-92,"0","KMT2E"
1.19518937441103e-93,0.855566066055466,0.459,0.339,2.55411969311637e-90,"0","CCND3"
4.08682204906604e-93,0.436596844486763,0.876,0.861,8.73353871885413e-90,"0","MTRNR2L12"
8.07908423668283e-93,0.777117238441233,0.267,0.135,1.72650030137912e-89,"0","CD96"
4.72193885959271e-92,0.447126063486791,0.84,0.817,1.00907833429496e-88,"0","MYH9"
1.98504869513412e-91,0.740389936414707,0.561,0.468,4.24204906150162e-88,"0","CYBA"
6.16156044713594e-90,0.800538980608307,0.529,0.43,1.31672546755295e-86,"0","PDIA3"
1.3972579835728e-88,0.95260778918221,0.324,0.198,2.98594031089508e-85,"0","BHLHE40"
9.69186322827999e-86,0.951970171592,0.334,0.207,2.07115117188343e-82,"0","ZBTB38"
4.61410992065921e-83,0.56023414792746,0.643,0.574,9.86035290044873e-80,"0","MBNL1"
1.70477180389741e-82,0.808469127619347,0.498,0.399,3.64309734492877e-79,"0","ADD1"
2.82399644956011e-82,0.273989051640367,0.893,0.847,6.03488041270995e-79,"0","RPS3"
4.48289418317349e-82,0.595917041781012,0.642,0.588,9.57994486944175e-79,"0","SON"
5.10310397549473e-82,0.647065474219581,0.584,0.481,1.09053331956322e-78,"0","ADD3"
5.33593564438157e-82,0.888844945463221,0.347,0.22,1.14028944720434e-78,"0","TRANK1"
5.60502970527819e-82,0.645966272554704,0.58,0.478,1.19779484801795e-78,"0","HSPA8"
2.06280351749411e-81,0.804273503275166,0.521,0.434,4.40821111688491e-78,"0","CFLAR"
5.00214838793188e-80,0.732174047856634,0.499,0.394,1.06895911050104e-76,"0","ANXA6"
8.48505897033868e-80,0.86672025750615,0.413,0.301,1.81325710196137e-76,"0","PTPN18"
1.47151551842658e-78,0.969617226748459,0.285,0.171,3.1446286628776e-75,"0","IVNS1ABP"
2.45232489296199e-76,0.869988614566419,0.421,0.315,5.24061829625976e-73,"0","PREX1"
1.28818347608298e-75,0.712212036789976,0.547,0.477,2.75284808838933e-72,"0","TAPBP"
1.30543997795758e-75,0.753407281652573,0.457,0.346,2.78972523289534e-72,"0","CIRBP"
2.36118644022913e-75,0.78204647178979,0.452,0.342,5.04585542276966e-72,"0","MGEA5"
1.77038736586203e-74,0.670807857128231,0.568,0.486,3.78331780084715e-71,"0","FNBP1"
1.51154812918758e-71,0.874763156717886,0.319,0.208,3.23017835207385e-68,"0","DOK2"
3.78906595067696e-71,0.637276473215487,0.487,0.375,8.09723393659666e-68,"0","RBL2"
3.534680617e-70,0.515619308008478,0.694,0.639,7.55361247852899e-67,"0","ACTR2"
3.20560358047692e-67,0.550890345108616,0.638,0.586,6.85037485147917e-64,"0","DDX17"
5.57751927589289e-66,0.681476933022992,0.513,0.426,1.19191586925831e-62,"0","SRSF11"
5.666929102195e-65,0.753819150315266,0.484,0.405,1.21102274913907e-61,"0","ERBB2IP"
3.2743670856546e-62,0.51844318896576,0.651,0.613,6.99732246204388e-59,"0","PRRC2C"
4.46666509034834e-62,0.863459171491527,0.308,0.209,9.54526329807441e-59,"0","UBB"
1.42836357491407e-61,0.776456748914699,0.44,0.353,3.05241295959136e-58,"0","TOP2B"
7.09657016835937e-61,0.665570327732489,0.26,0.152,1.5165370449784e-57,"0","ATHL1"
3.59476746610349e-60,0.608619719967733,0.473,0.368,7.68201807506315e-57,"0","CHD3"
7.78494624941715e-59,0.630437365640576,0.498,0.421,1.66364301350044e-55,"0","SET"
1.08876068050118e-58,0.642865892865574,0.495,0.416,2.32668157423101e-55,"0","MT-ATP8"
3.53363808461834e-58,0.779630509333262,0.422,0.332,7.55138458682938e-55,"0","PRRC2B"
1.15880688408199e-57,0.763490303204518,0.31,0.207,2.47637031128321e-54,"0","GBP4"
1.43683196575507e-57,0.587185985849112,0.529,0.442,3.07050991081859e-54,"0","KIAA1551"
1.50224902813832e-54,0.266254336016291,0.912,0.891,3.2103061731316e-51,"0","TMSB4X"
5.41573471730655e-54,0.539259981886967,0.568,0.506,1.15734250908841e-50,"0","HNRNPDL"
1.55004510749622e-52,0.721027196914755,0.396,0.305,3.31244639471942e-49,"0","ARID4B"
1.81161990126325e-52,0.82085214126942,0.323,0.233,3.87143172899956e-49,"0","PLEKHA2"
